date	time	player	version	minutes	seconds	ending	cave	points	turns	reincarnations	pauses	treasures	events
5-Mar-81	19:40	SHOOP	6.10/9	64	46	Quit	Open	73	406	1	0		SNK/DOG/BLU/SAFE/COMBO/WMP/ANVIL/SWD/JOSH
20-Mar-81	14:01	SHOOP	6.10/9	0	17	Quit	Open	319	994	0	3	55/58/62/167	DOG/BLU/CONCH/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/QSAND/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD/FALCON/GARDEN
8-May-81	15:58	SHOOP	6.10/9	3	51	Killed	Closed	349	1060	0	3	55/58/62/167	SNK/DOG/BLU/CONCH/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/QSAND/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD/FALCON/GARDEN
8-May-81	16:01	SHOOP	6.10/9	1	45	Killed	Closed	369	1060	0	3	55/58/62/167	SNK/DOG/BLU/CONCH/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/QSAND/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD/FALCON/GARDEN
24-Aug-81	12:05	BROOKES	6.10/9	3	22	Killed	Open	-15	30	1	0		SAFE
24-Aug-81	12:40	BROOKES	6.10/9	24	59	Paused	Open	75	345	0	0	58	SAFE/COMBO/PYR/EMR
13-Feb-82	22:36	SHOOP	6.10/9	0	37	Quit	Open	0	2	0	0		
21-Mar-82	14:59	SHIVELY	6.10/9	33	26	Quit	Open	36	252	0	0		SNK/SAFE
21-Mar-82	15:34	SHIVELY	6.10/9	34	17	Killed	Open	-35	123	3	0		SAFE
21-Mar-82	16:36	SHIVELY	6.10/9	1	20	Quit	Open	0	4	0	0		
21-Mar-82	18:13	SHIVELY	6.10/9	31	12	Paused	Open	0	212	0	0		SNK/DOG/SAFE
21-Mar-82	22:01	SHIVELY	6.10/9	23	31	Quit	Open	41	358	1	1		SNK/DOG/SAFE
21-Mar-82	22:30	SHIVELY	6.10/9	29	20	Quit	Open	26	225	1	0		SNK/EMR
21-Mar-82	22:32	SHIVELY	6.10/9	0	21	Quit	Open	0	1	0	0		
22-Mar-82	19:58	SHIVELY	6.10/9	7	48	Killed	Open	17	59	1	0		SNK/SAFE
22-Mar-82	20:07	SHIVELY	6.10/9	9	24	Quit	Open	27	69	0	0		SNK
22-Mar-82	21:43	SHIVELY	6.10/9	58	27	Quit	Open	49	498	0	0		SNK
22-Mar-82	22:00	SHIVELY	6.10/9	14	29	Quit	Open	33	154	0	0		SNK
22-Mar-82	22:41	SHIVELY	6.10/9	41	27	Paused	Open	45	339	0	0		SNK
23-Mar-82	20:11	SHIVELY	6.10/9	47	17	Killed	Open	45	554	1	1		SNK/COURT/COPTER/CTL RM/FLOOD
25-Mar-82	21:44	SHIVELY	6.10/9	30	5	Killed	Open	26	132	1	0		SNK/EMR
25-Mar-82	22:51	SHIVELY	6.10/9	59	20	Quit	Open	49	257	0	0		SNK/SAFE/PYR
27-Mar-82	00:53	SHIVELY	6.10/9	61	9	Paused	Open	93	301	0	0	58/62	SNK/ANVIL/PYR/RUG
27-Mar-82	18:16	SHIVELY	6.10/9	61	37	Quit	Open	105	493	1	1	58/62	SNK/ANVIL/PYR/RUG
27-Mar-82	18:31	SHIVELY	6.10/9	14	9	Killed	Open	35	83	1	0		SNK
3-Apr-82	23:12	SHIVELY.MA	6.10/9	57	20	Quit	Open	71	325	0	0		SNK/PYR/RUG/COURT/CASTLE KEEP/COPTER
1-May-82	19:31	SHOOP	6.10/9	1	31	Quit	Open	0	6	0	0		SAFE
1-May-82	19:37	SHOOP	6.10/9	1	46	Quit	Open	33	12	0	0		SAFE/EMR
17-May-82	23:12	SHOOP.RAY	6.10/9	1	8	Quit	Open	2	9	0	0		SAFE/COMBO
3-Jun-82	07:55	COOK	6.10/9	0	9	Quit	Open	0	1	0	0		
3-Jun-82	08:07	SHOOP	6.10/9	0	7	Quit	Open	0	1	0	0		
3-Jun-82	08:10	SHOOP	6.10/9	0	6	Quit	Open	0	1	0	0		
3-Jun-82	08:13	SHOOP	6.10/9	0	53	Quit	Open	2	7	0	0		SAFE/COMBO
5-Jun-82	20:13	SHOOP	6.10/9	1	53	Quit	Open	33	18	0	0		SAFE/COMBO
11-Jun-82	12:55	SHOOP	6.10/9	0	8	Quit	Open	0	1	0	0		
11-Jun-82	12:57	SHOOP	6.10/9	0	6	Quit	Open	0	1	0	0		
11-Jun-82	13:00	GUEST	6.10/9	0	14	Quit	Open	0	1	0	0		
11-Jun-82	13:01	SHOOP	6.10/9	0	7	Quit	Open	0	1	0	0		
11-Jun-82	22:10	SHOOP	6.10/9	0	19	Quit	Open	0	1	0	0		
11-Jun-82	22:11	SHOOP	6.10/9	0	57	Quit	Open	0	2	0	0		
11-Jun-82	23:45	SHOOP	6.10/9	73	19	Killed	Open	44	396	1	0		QSAND/WELL/COURT/CASTLE KEEP/CTL RM/FLOOD
12-Jun-82	19:17	SHOOP	6.10/9	52	7	Quit	Open	115	294	0	0		SAFE/COMBO/ANVIL/SWD/BUSH/ROSE/WELL/COURT/CTL RM/FLOOD/VAULT/GARDEN
12-Jun-82	19:23	SHOOP	6.10/9	0	42	Quit	Open	0	1	0	0		
13-Jun-82	07:01	GUEST	6.10/9	0	22	Quit	Open	0	1	0	0		
13-Jun-82	07:15	SHOOP	6.10/9	11	1	Quit	Open	53	70	0	0		SAFE/COMBO/JOSH/COPTER/FALCON
13-Jun-82	09:45	SHOOP	6.10/9	35	57	Quit	Open	69	145	0	0		ANVIL
13-Jun-82	09:49	SHOOP	6.10/9	3	53	Quit	Open	33	15	0	0		CONCH
13-Jun-82	19:53	SHOOP	6.10/9	17	18	Quit	Open	45	122	0	0		SAFE/COMBO/ANVIL
15-Jun-82	19:06	WAGMAN	6.10/9	81	38	Paused	Open	106	746	0	0	62/167	SNK/SAFE/ANVIL/PYR/EMR/RUG
15-Jun-82	20:36	WAGMAN	6.10/9	3	19	Paused	Open	106	747	0	1	62/167	SNK/SAFE/ANVIL/PYR/EMR/RUG
15-Jun-82	20:45	WAGMAN	6.10/9	0	7	Paused	Open	0	1	0	0		
15-Jun-82	21:32	WAGMAN	6.10/9	43	44	Killed	Open	111	1148	1	1	58/167	SNK/SAFE/ANVIL/PYR/EMR/RUG
15-Jun-82	22:15	WAGMAN	6.10/9	32	9	Paused	Open	108	1031	1	1	62/167	SNK/SAFE/ANVIL/PYR/EMR/RUG/COURT/CASTLE KEEP/COPTER
15-Jun-82	22:42	WAGMAN	6.10/9	16	27	Paused	Open	110	928	0	1	55/62/167	SNK/SAFE/ANVIL/PYR/EMR/RUG/CHEST
15-Jun-82	22:44	SHOOP	6.10/9	64	5	Paused	Open	256	491	2	0	62	CONCH/SAFE/COMBO/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/BUSH/ROSE/WELL/COURT/CTL RM/FLOOD/FALCON/GARDEN
15-Jun-82	22:57	WAGMAN	6.10/9	11	48	Paused	Open	128	1071	0	2	62/167	SNK/SAFE/ANVIL/PYR/EMR/RUG/CHEST/COURT/CASTLE KEEP/COPTER
15-Jun-82	23:45	WAGMAN	6.10/9	25	55	Paused	Open	128	1367	1	3	167	SNK/SAFE/ANVIL/PYR/EMR/RUG/CHEST/COURT/CASTLE KEEP/COPTER/VAULT
16-Jun-82	00:05	WAGMAN	6.10/9	3	0	Paused	Open	128	1416	1	4	167	SNK/SAFE/ANVIL/PYR/EMR/RUG/CHEST/COURT/CASTLE KEEP/COPTER/CTL RM/VAULT
16-Jun-82	00:47	WAGMAN	6.10/9	18	7	Killed	Open	117	1522	2	5	167	SNK/SAFE/ANVIL/PYR/EMR/RUG/CHEST/COURT/CASTLE KEEP/COPTER/CTL RM/VAULT
16-Jun-82	08:04	SHOOP	6.10/9	4	23	Quit	Open	0	2	0	0		
16-Jun-82	09:03	SHOOP	6.10/9	0	16	Paused	Open	0	1	0	0		
16-Jun-82	10:03	SHOOP	6.10/9	0	8	Quit	Open	256	492	2	1	62	CONCH/SAFE/COMBO/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/BUSH/ROSE/WELL/COURT/CTL RM/FLOOD/FALCON/GARDEN
16-Jun-82	18:07	SHOOP.RAY	6.10/9	5	21	Paused	Open	0	38	0	0		SAFE/COMBO
16-Jun-82	19:26	SHOOP.RAY	6.10/9	27	19	Paused	Open	0	161	0	0	58/62	SAFE/COMBO/WMP/ANVIL/SWD/PYR/EMR/RUG
16-Jun-82	20:49	SHOOP.JIM	6.10/9	49	50	Paused	Open	304	608	1	1	58/62/167	CONCH/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/BUSH/ROSE/WELL/COURT/CASTLE KEEP/FALCON/GARDEN
17-Jun-82	20:06	SHOOP.JIM	6.10/9	23	58	Paused	Open	319	723	1	2	55/58/62/167	DOG/CONCH/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/BUSH/ROSE/WELL/COURT/CASTLE KEEP/COPTER/FALCON/GARDEN
28-Jun-82	08:42	SHOOP	6.10/9	0	58	Quit	Open	0	2	0	0		
28-Jun-82	09:03	SHOOP	6.10/9	0	37	Quit	Open	0	3	0	0		
28-Jun-82	09:29	SHOOP	6.10/9	0	20	Quit	Open	0	2	0	0		
28-Jun-82	09:30	SHOOP	6.10/9	0	13	Paused	Open	0	2	0	0		
28-Jun-82	20:34	SHIVELY.MA	6.10/9	33	42	Quit	Open	36	354	2	0		SNK/DOG/SAFE/COURT/CASTLE KEEP/COPTER
28-Jun-82	20:50	SHIVELY.MA	6.10/9	15	38	Killed	Open	35	161	1	0		VINE/COPTER/CTL RM/FLOOD
29-Jun-82	10:15	SHOOP.RAY	6.10/9	0	27	Quit	Open	0	2	0	0		
29-Jun-82	10:17	SHIVELY.MA	6.10/9	0	18	Quit	Open	0	2	0	0		
29-Jun-82	10:18	SHIVELY.MA	6.10/9	0	6	Quit	Open	0	1	0	0		
1-Jul-82	19:41	WAGMAN	6.10/9	6	51	Quit	Open	0	108	0	0		
8-Jul-82	12:45	STEVENS	6.10/9	26	25	Quit	Open	-5	77	0	0		SAFE
10-Jul-82	17:04	KARLSON	6.10/9	6	36	Quit	Open	463	978	0	0		SAFE/PYR
10-Jul-82	17:06	OPERATOR	6.10/9	0	5	Quit	Open	0	1	0	0		
10-Jul-82	16:01	KARLSON	6.10/9	1	45	Killed	Closed	463	1021	0	3	55/58/62/167	SNK/DOG/BLU/CONCH/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/QSAND/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD/FALCON/GARDEN
10-Jul-82	17:10	OPERATOR	6.10/9	0	9	Quit	Open	0	1	0	0		
10-Jul-82	17:13	OPERATOR	6.10/9	0	29	Quit	Open	0	1	0	0		
20-Jul-82	12:41	STEVENS	6.10/9	48	40	Quit	Open	22	343	2	0		SNK/SAFE/QSAND
21-Jul-82	12:18	STEVENS	6.10/9	22	58	Quit	Open	53	169	0	0		SNK
23-Jul-82	12:41	STEVENS	6.10/9	1	42	Quit	Open	41	19	0	0		PYR
11-Aug-82	22:00	SHOOP	6.10/9	12	32	Quit	Open	33	57	0	0		CTL RM
18-Aug-82	13:16	GUEST	6.10/9	0	30	Paused	Open	0	2	0	0		
19-Aug-82	07:22	SHOOP	6.10/9	2	28	Quit	Open	29	30	1	0		WELL/COURT
29-Aug-82	15:19	SHIVELY.MA	6.10/9	50	30	Paused	Open	59	240	1	0		SNK/COURT/CASTLE KEEP/COPTER
13-Oct-82	12:03	SHOOP	6.10/9	4	8	Paused	Open	0	35	0	0		SAFE/COMBO/PYR
