Records whose lost leading character cannot be proven.
Written as "low"; "high" is the alternative (lost 2).

  rec  dun lvl    x   y    low   high
 3857    3   3   13   5    310   2310
 3879    3   3   15   7    100   2100
 3882    3   3   15  10    500   2500
 3892    3   3   16  10    610   2610
 3898    3   3   17   6    400   2400
 3933    3   4    1   5    411   2411
 4001    3   5    3   2    400   2400
 4027    3   5    4   8    401   2401
 4032    3   5    4  13    110   2110
 4065    3   5    6   6    311   2311
 4091    3   5    7  12    701   2701
 4096    3   5    7  17    200   2200
 4120    3   5    9   1    111   2111
 4122    3   5    9   3    611   2611
 4160    3   5   11   1    300   2300
 4171    3   5   11  12    113   2113
 4205    3   5   13   6    211   2211
 4270    3   5   16  11    704   2704
 4298    3   6    1  13    710   2710
 4305    3   6    2   6    111   2111
 4354    3   6    5  13    300   2300
 4357    3   6    6   2    411   2411
 4392    3   6    8   9    100   2100
 4446    3   6   12   7    300   2300
 4461    3   7    1   2    411   2411
 4550    3   8    1   5    211   2211
 4553    3   8    1   8    712   2712
 4556    3   8    1  11    722   2722
 4585    3   8    4   4    621   2621
 4603    3   8    5  10    121   2121
 4608    3   8    6   3    514   2514
 4654    3   8   10   1    304   2304
 4672    4   1    1   1    710   2710
 4683    4   1    1  12    310   2310
 4694    4   1    2   7    300   2300
 4736    4   1    5   1    204   2204
 4751    4   1    5  16    110   2110
 4756    4   1    6   5    131   2131
 4776    4   1    7   9    211   2211
 4839    4   2    1   2    110   2110
 4849    4   2    1  12    210   2210
 4877    4   2    3   8    601   2601
 4892    4   2    4   7    601   2601
 4919    4   2    6   2    301   2301
 4931    4   2    6  14    432   2432
 4973    4   2    9   8    700   2700
 4989    4   2   10   8    300   2300
 5021    4   2   12   8    700   2700
 5044    4   2   13  15    400   2400
 5069    4   2   15   8    611   2611
 5080    4   2   16   3    511   2511
 5153    4   2   20  12    411   2411
 5164    4   3    1   1    611   2611
 5191    4   3    3   6    611   2611
 5196    4   3    3  11    100   2100
 5201    4   3    4   5    414   2414
 5215    4   3    5   8    111   2111
 5219    4   3    6   1    714   2714
 5224    4   3    6   6    211   2211
 5229    4   3    6  11    110   2110
 5248    4   3    8   8    711   2711
 5272    4   3   10  10    113   2113
 5279    4   3   11   6    101   2101
 5294    4   4    1   4    210   2210
 5322    4   4    4   8    321   2321
 5347    4   4    8   1    101   2101
 5368    4   4   10   6    141   2141
 5389    4   4   13   3    710   2710
 5410    4   4   15   8    711   2711
 5425    4   4   17   7    610   2610
 5463    4   4   22   5    400   2400
 5511    4   5    2  14    110   2110
 5546    4   5    4  15    310   2310
 5557    4   5    5   9    310   2310
 5591    4   5    7   9    710   2710
 5603    4   5    8   4    410   2410
 5635    4   5   10   2    110   2110
 5666    4   5   11  16    710   2710
 5674    4   5   12   7    210   2210
 5714    4   5   14  13    511   2511
 5726    4   5   15   8    310   2310
 5761    4   5   17   9    100   2100
 5784    4   5   18  15    701   2701
 5786    4   5   18  17    441   2441
 5788    4   5   19   2    611   2611
 5828    4   5   21   8    310   2310
 5880    4   5   24   9    310   2310
 5893    4   5   25   5    300   2300
 5924    4   6    2   3    264   2264
 5927    4   6    2   6    510   2510
 5929    4   6    2   8    311   2311
 5937    4   6    3   6    612   2612
 5945    4   6    4   4    411   2411
 5953    4   6    5   2    221   2221
 5985    4   6    8   4    110   2110
 6025    4   6   12   4    701   2701
 6046    4   7    1   9    211   2211
 6047    4   7    1  10    212   2212
 6060    4   7    2   2    501   2501
 6068    4   7    2  10    341   2341
 6069    4   7    2  11    308   2308
 6072    4   7    2  14    701   2701
 6074    4   7    2  16    101   2101
 6084    4   7    3   5    601   2601
 6088    4   7    3   9    201   2201
 6095    4   7    3  16    514   2514
 6097    4   7    3  18    431   2431
 6108    4   7    4   8    241   2241
 6109    4   7    4   9    202   2202
 6133    4   8    1   6    440   2440
 6146    4   8    2   9    410   2410
 6151    4   8    3   4    500   2500
 6152    4   8    3   5    711   2711
 6156    4   8    3   9    710   2710
 6167    4   8    4  10    410   2410
 6190    4   8    7   3    401   2401
 6217    5   1    1   4    312   2312
 6219    5   1    1   6    312   2312
 6221    5   1    1   8    311   2311
 6239    5   1    3   2    611   2611
 6241    5   1    3   4    111   2111
 6243    5   1    3   6    711   2711
 6256    5   1    4   7    710   2710
 6270    5   1    5   9    401   2401
 6272    5   1    5  11    110   2110
 6323    5   1   10   2    533   2533
 6329    5   1   10   8    233   2233
 6330    5   1   10   9    230   2230
 6331    5   1   10  10    230   2230
 6341    5   1   11   8    203   2203
 6343    5   1   11  10    200   2200
 6350    5   1   12   5    100   2100
 6351    5   1   12   6    400   2400
 6353    5   1   12   8    203   2203
 6354    5   1   12   9    500   2500
 6355    5   1   12  10    200   2200
 6383    5   2    2   2    312   2312
 6413    5   2    3  14    510   2510
 6419    5   2    4   2    601   2601
 6428    5   2    4  11    401   2401
 6432    5   2    4  15    124   2124
 6437    5   2    5   2    210   2210
 6438    5   2    5   3    210   2210
 6439    5   2    5   4    210   2210
 6440    5   2    5   5    220   2220
 6441    5   2    5   6    210   2210
 6443    5   2    5   8    210   2210
 6445    5   2    5  10    240   2240
 6446    5   2    5  11    220   2220
 6447    5   2    5  12    210   2210
 6448    5   2    5  13    210   2210
 6449    5   2    5  14    210   2210
 6450    5   2    5  15    210   2210
 6451    5   2    5  16    210   2210
 6452    5   2    5  17    210   2210
 6455    5   2    6   2    111   2111
 6456    5   2    6   3    721   2721
 6469    5   2    6  16    611   2611
 6470    5   2    6  17    611   2611
 6476    5   2    7   5    111   2111
 6487    5   2    7  16    601   2601
 6488    5   2    7  17    600   2600
 6497    5   2    8   8    200   2200
 6517    5   2    9  10    301   2301
 6553    5   3    1   4    611   2611
 6567    5   3    2   9    101   2101
 6570    5   3    3   3    301   2301
 6571    5   3    3   4    314   2314
 6578    5   3    4   2    300   2300
 6585    5   3    4   9    110   2110
 6589    5   3    5   4    301   2301
 6590    5   3    5   5    304   2304
 6615    5   3    8   3    501   2501
 6623    5   3    9   2    111   2111
 6624    5   3    9   3    511   2511
 6627    5   3    9   6    710   2710
 6658    5   3   13   1    302   2302
 6665    5   3   13   8    611   2611
 6672    5   3   14   6    400   2400
 6675    5   3   14   9    601   2601
 6691    5   4    1  10    212   2212
 6703    5   4    2   1    601   2601
 6705    5   4    2   3    712   2712
 6773    5   4    5   8    511   2511
 6779    5   4    5  14    401   2401
 6815    5   4    7   8    313   2313
 6819    5   4    7  12    412   2412
 6871    5   4   10   1    111   2111
 6876    5   4   10   6    601   2601
 6884    5   4   10  14    501   2501
 6885    5   4   10  15    111   2111
 6899    5   4   11   8    701   2701
 6930    5   4   12  18    300   2300
 6957    5   5    2   4    711   2711
 6974    5   5    3   7    531   2531
 6982    5   5    4   1    310   2310
 6991    5   5    4  10    300   2300
 7013    5   5    6   4    411   2411
 7014    5   5    6   5    100   2100
 7018    5   5    6   9    610   2610
 7019    5   5    6  10    600   2600
 7021    5   5    6  12    112   2112
 7041    5   5    8   4    202   2202
 7054    5   5    9   3    511   2511
 7106    5   5   12  13    321   2321
 7122    5   5   14   1    441   2441
 7127    5   5   14   6    611   2611
 7132    5   5   14  11    111   2111
 7135    5   5   14  14    200   2200
 7148    5   6    2   1    400   2400
 7154    5   6    3   1    711   2711
 7168    5   6    5   3    301   2301
 7171    5   6    5   6    614   2614
 7173    5   6    6   2    111   2111
 7212    5   7    5   5    111   2111
 7244    5   7   11   1    411   2411
 7250    5   7   12   1    201   2201
 7256    5   7   13   1    201   2201
 7298    5   7   20   1    401   2401
 7313    5   7   22   4    411   2411
 7315    5   7   22   6    110   2110
 7326    5   7   24   5    111   2111
 7344    5   7   27   5    611   2611
 7347    5   7   28   2    714   2714
 7364    5   7   31   1    111   2111
 7370    5   7   32   1    211   2211
 7373    5   7   32   4    581   2581
 7375    5   7   32   6    214   2214
 7381    5   7   33   6    614   2614
 7382    5   7   34   1    311   2311
 7391    5   7   35   4    611   2611
 7399    5   7   36   6    214   2214
 7400    5   7   37   1    611   2611
 7402    5   7   37   3    114   2114
 7405    5   7   37   6    114   2114
 7409    5   7   38   4    711   2711
 7417    5   7   39   6    314   2314
 7423    5   7   40   6    514   2514
 7463    5   8    2  13    710   2710
 7501    5   8    4   9    110   2110
 7604    5   8    9   7    110   2110
 7635    5   8   10  17    700   2700
 7642    5   8   11   3    501   2501
 7693    5   8   13  12    700   2700
 7726    5   8   15   3    101   2101
 7743    5   8   15  20    720   2720
 7778    5   8   17  13    511   2511
 7779    5   8   17  14    510   2510
 7780    5   8   17  15    510   2510
 7781    5   8   17  16    510   2510
 7782    5   8   17  17    510   2510
 7783    5   8   17  18    510   2510
 7784    5   8   17  19    510   2510
 7785    5   8   17  20    110   2110
 7799    5   8   18  13    501   2501
 7800    5   8   18  14    500   2500
 7801    5   8   18  15    500   2500
 7802    5   8   18  16    500   2500
 7803    5   8   18  17    500   2500
 7804    5   8   18  18    500   2500
 7805    5   8   18  19    500   2500
 7806    5   8   18  20    100   2100
 7826    5   8   19  19    501   2501
 7827    5   8   19  20    100   2100
 7830    5   8   20   2    411   2411
 7844    5   8   20  16    700   2700
 7847    5   8   20  19    501   2501
 7848    5   8   20  20    100   2100
 7868    5   8   21  19    501   2501
 7869    5   8   21  20    500   2500
 7872    5   8   22   2    211   2211
 7889    5   8   22  19    501   2501
 7890    5   8   22  20    500   2500
 7910    5   8   23  19    501   2501
 7911    5   8   23  20    500   2500
 7914    5   8   24   2    311   2311
 7917    5   8   24   5    501   2501
 7931    5   8   24  19    502   2502
 7932    5   8   24  20    500   2500
 7956    5   8   26   2    311   2311
 7957    5   8   26   3    401   2401
 7998    5   8   28   2    411   2411
 8004    5   8   28   8    700   2700
 8013    5   8   28  17    700   2700
 8027    5   8   29  10    100   2100
 8040    5   8   30   2    211   2211
 8082    5   8   32   2    411   2411
 8090    5   8   32  10    700   2700
 8102    5   8   33   1    601   2601
 8103    5   8   33   2    610   2610
 8123    5   8   34   1    601   2601
 8124    5   8   34   2    211   2211
 8144    5   8   35   1    301   2301
 8145    5   8   35   2    310   2310
 8165    5   8   36   1    301   2301
 8186    5   8   37   1    111   2111
 8198    5   8   37  13    711   2711
 8254    5   8   40   6    500   2500
 8268    5   8   40  20    500   2500
 8278    6   1    1   3    111   2111
 8283    6   1    1   8    311   2311
 8296    6   1    1  21    611   2611
 8312    6   1    2  16    114   2114
 8314    6   1    2  18    341   2341
 8318    6   1    3   1    711   2711
 8327    6   1    3  10    313   2313
 8329    6   1    3  12    211   2211
 8334    6   1    3  17    300   2300
 8343    6   1    4   5    501   2501
 8352    6   1    4  14    111   2111
 8354    6   1    4  16    141   2141
 8356    6   1    4  18    311   2311
 8359    6   1    4  21    601   2601
 8362    6   1    5   3    411   2411
 8370    6   1    5  11    212   2212
 8380    6   1    5  21    604   2604
 8395    6   1    6  15    611   2611
 8400    6   1    6  20    221   2221
 8401    6   1    6  21    213   2213
 8421    6   2    2   1    112   2112
 8430    6   2    2  10    412   2412
 8436    6   2    3   3    611   2611
 8463    6   2    5   4    210   2210
 8484    6   2    6  12    721   2721
 8516    6   2    9   5    323   2323
 8532    6   2   10   8    501   2501
 8564    6   3    3   1    201   2201
 8573    6   3    3  10    601   2601
 8576    6   3    4   3    311   2311
 8580    6   3    4   7    110   2110
 8592    6   3    5   9    410   2410
 8598    6   3    6   5    700   2700
 8613    6   3    7  10    101   2101
 8672    6   4    3   3    200   2200
 8677    6   4    3   8    122   2122
 8682    6   4    3  13    600   2600
 8687    6   4    3  18    422   2422
 8772    6   4    8   3    322   2322
 8777    6   4    8   8    313   2313
 8787    6   4    8  18    313   2313
 8872    6   4   13   3    300   2300
 8877    6   4   13   8    622   2622
 8882    6   4   13  13    300   2300
 8887    6   4   13  18    122   2122
 8972    6   4   18   3    622   2622
 8977    6   4   18   8    331   2331
 8982    6   4   18  13    122   2122
 8987    6   4   18  18    431   2431
 9037    6   5    1   2    514   2514
 9049    6   5    3   2    711   2711
 9050    6   5    3   3    601   2601
 9051    6   5    3   4    604   2604
 9053    6   5    3   6    411   2411
 9111    6   6    3   6    400   2400
 9113    6   6    3   8    410   2410
 9119    6   6    3  14    601   2601
 9143    6   6    4  18    700   2700
 9175    6   6    6  10    500   2500
 9237    6   7    2  12    511   2511
 9321    6   7    8  12    600   2600
 9338    6   8    1   9    441   2441
 9339    6   8    1  10    611   2611
 9341    6   8    1  12    611   2611
 9342    6   8    1  13    441   2441
 9343    6   8    1  14    111   2111
 9344    6   8    1  15    110   2110
 9345    6   8    1  16    110   2110
 9346    6   8    1  17    110   2110
 9359    6   8    2   9    111   2111
 9363    6   8    2  13    111   2111
 9364    6   8    2  14    101   2101
 9365    6   8    2  15    100   2100
 9366    6   8    2  16    100   2100
 9367    6   8    2  17    100   2100
 9376    6   8    3   5    240   2240
 9377    6   8    3   6    210   2210
 9378    6   8    3   7    210   2210
 9379    6   8    3   8    210   2210
 9385    6   8    3  14    210   2210
 9386    6   8    3  15    240   2240
 9387    6   8    3  16    210   2210
 9388    6   8    3  17    210   2210
 9397    6   8    4   5    111   2111
 9398    6   8    4   6    110   2110
 9399    6   8    4   7    110   2110
 9400    6   8    4   8    110   2110
 9418    6   8    5   5    114   2114
 9419    6   8    5   6    100   2100
 9420    6   8    5   7    100   2100
 9421    6   8    5   8    100   2100
 9541    6   8   11   2    514   2514
 9559    6   8   11  20    541   2541
 9651    6   8   16   7    555   2555
 9652    6   8   16   8    550   2550
 9653    6   8   16   9    550   2550
 9654    6   8   16  10    550   2550
 9655    6   8   16  11    550   2550
 9656    6   8   16  12    550   2550
 9657    6   8   16  13    550   2550
 9658    6   8   16  14    550   2550
 9659    6   8   16  15    550   2550
 9672    6   8   17   7    505   2505
 9673    6   8   17   8    688   2688
 9674    6   8   17   9    680   2680
 9675    6   8   17  10    680   2680
 9676    6   8   17  11    680   2680
 9677    6   8   17  12    680   2680
 9678    6   8   17  13    680   2680
 9679    6   8   17  14    680   2680
 9680    6   8   17  15    508   2508
 9693    6   8   18   7    505   2505
 9694    6   8   18   8    608   2608
 9695    6   8   18   9    144   2144
 9696    6   8   18  10    140   2140
 9697    6   8   18  11    140   2140
 9698    6   8   18  12    140   2140
 9699    6   8   18  13    140   2140
 9700    6   8   18  14    604   2604
 9701    6   8   18  15    508   2508
 9714    6   8   19   7    505   2505
 9715    6   8   19   8    608   2608
 9716    6   8   19   9    104   2104
 9717    6   8   19  10    700   2700
 9718    6   8   19  11    700   2700
 9719    6   8   19  12    700   2700
 9720    6   8   19  13    100   2100
 9721    6   8   19  14    604   2604
 9722    6   8   19  15    505   2505
 9735    6   8   20   7    505   2505
 9736    6   8   20   8    608   2608
 9737    6   8   20   9    104   2104
 9738    6   8   20  10    700   2700
 9740    6   8   20  12    700   2700
 9741    6   8   20  13    100   2100
 9742    6   8   20  14    604   2604
 9743    6   8   20  15    505   2505
 9756    6   8   21   7    505   2505
 9757    6   8   21   8    608   2608
 9758    6   8   21   9    104   2104
 9759    6   8   21  10    700   2700
 9760    6   8   21  11    700   2700
 9761    6   8   21  12    700   2700
 9762    6   8   21  13    100   2100
 9763    6   8   21  14    604   2604
 9764    6   8   21  15    508   2508
 9777    6   8   22   7    505   2505
 9778    6   8   22   8    608   2608
 9779    6   8   22   9    104   2104
 9780    6   8   22  10    100   2100
 9781    6   8   22  11    100   2100
 9782    6   8   22  12    100   2100
 9783    6   8   22  13    100   2100
 9784    6   8   22  14    604   2604
 9785    6   8   22  15    508   2508
 9798    6   8   23   7    505   2505
 9799    6   8   23   8    608   2608
 9800    6   8   23   9    640   2640
 9801    6   8   23  10    640   2640
 9802    6   8   23  11    640   2640
 9803    6   8   23  12    640   2640
 9804    6   8   23  13    640   2640
 9805    6   8   23  14    600   2600
 9806    6   8   23  15    508   2508
 9819    6   8   24   7    505   2505
 9820    6   8   24   8    580   2580
 9821    6   8   24   9    580   2580
 9822    6   8   24  10    580   2580
 9823    6   8   24  11    580   2580
 9824    6   8   24  12    580   2580
 9825    6   8   24  13    580   2580
 9826    6   8   24  14    580   2580
 9827    6   8   24  15    500   2500
 9919    6   8   29   2    541   2541
 9937    6   8   29  20    514   2514
10032    6   8   34  10    700   2700
10159    6   8   40  11    571   2571
