2avatcom  (tutor    a, 28 blocks)
  1 | 50 | 05/17/84 | 03/07/94 | s | s | David Si | es | UI BE{70} | bR | see "auth | ors" | space simu | lation | all | strategic | space simu | lation | 15.19.41. | dave runte | e | s | coserv | coserv | publish | i4a÷* | avatarbv | mu2+ «{75} | 0catnote | coserv | s0edit | 5 | e

=== block '*directory'  kind 00  0 words  (block 0)
        t4car5a{^03}÷r9lhbpj/]1dCrystal of Healing
uvxp3e«fpjpo;÷aj5jpy2
Helm of Astral Projection
6-
        +9escxblbpo;÷axdhjpy29
Scarab of Invisibility
%y÷ia÷o;÷bphbn5)+55Scarab of Protection
%5lb5no;÷bphbn9,+55Scarab of Defense
%+÷ncpn{'00}a;;÷bphbn/]+55Scarab of Life

%(54h-bc4c⌫m{'00}a;;÷bphbn=↓+55Amulet of Infravision
a3hjc1{'00}fo;÷ai5h
ao*%+÷5Ring of Warding

=;/cdno;÷hbnx79
Ring of Protection
 kpfNo;÷hbn1-9p5Ring of Defending
 uia/n{'00}a;;÷hbn5)9p5Atlantian Ring

 0{'00}lbxn×a;;÷hbn9,9p5Ring of Truth

 7÷nchm×a;;÷hbhn/]9p5Ring of Splendour
 $5oc×l÷a;;÷hbhhn=↓9p5Spectral Chain Armor
m[ncpj=a{75}c÷rxbpfhcfn/]9
Thief's Armor

m%/oc⌫i/a[brxbpfhcfn=↓9
Spectral Plate Mail
(]ncr>=a⌫
x9cihcen/]9fWarrior's Armor

(×poc⌫</a⌫
x9cihcen=↓9hBronze Sword

<7/
d7evn÷ra5icl
ou41
Iron Sword

>dc

=== block 'dungeoncom'  kind 41  320 words  (block 6)
n9evn÷tb5jdhboy81bSteel Sword

>r{'00}f-pafew{^00}÷xclehfo2*1bAdamantite Sword

>6xi⌫3an*w{^00}÷1c5nehfo6$1dMithril Sword

>$5la9,a«$g{^00}÷+rehhfo(%1dSword of Slaying

>[nb3,
        ↓$w⌫÷9d5rfhhfo(%1fSword of Warlond

>«/oc9{75}<4$w⌫÷/etfhhfo ↑1hLightning Blade

>«⌫f×*;+54c{75}n<4kw⌫÷/etfhhfo {'34}hBarrier Battle Axe
c↓5oc%a7n$g{^03}p(htfhhfo ↓1fShadow Axe

c«ky9*«o4c⌫÷b2kg{^03}p+i{'00}rfxhfo {'34}hAmulet of Ultravision
aqxclfo;÷
        hh
nx7+÷5Mace of Disruption
+./nbz5a%t↑{^03}59d5rfhhfo(%1fMace of Noman

+×poc5÷b0×↑{^03}5/etfhhfo ↑1hStaff of Warding


        ,÷na),
        %m*{^74}5{'00}qfhfo(%1fStaff of Helarno


        %xobx{^71}⌫m*{^74}5⌫rfhfo ↑1hBronze Dagger

v6÷
5]-o]÷lhcl
ou41
Iron Dagger

wd÷cf6r*;]÷pjdhboy81bSteel Dagger

wqxf3paa]*;]÷tlehfo2*1bAdamantite Dagger
w5i×pajr*;]÷xnehfo6$1dMithril Dagger

w){'00}la15a]]*;]÷1pehfo+.1dWhisper of Death

w÷xnbv5a%r*;]÷5rfhfo(%1fVampire Fang

w«oc1÷b0]*;]÷9tfhfo ↑1hStaff of Defending

        ×/obx{75}+> *{^74}5⌫tfhfo {'34}hDagger of Swiftness
w↓hoc×{^66}<]*;]÷9tfhfo ↑1hHands of Destruction
4«xoc⌫÷c>,wr
+hxfxxfo ↑1hInitiate's Hands
4kpcnaanvb
p5ndxfoy81bMagic Hands

4sf7pa[,wr
t/pexfo2*1bMaster's Hands

45÷iPbjnwr
x÷rexfo6$1dHands of Death

4$la55b],wr
1{'00}texhfo+.1dHands of Slaying

4÷÷nbz5csnwr
6vfxhfo(%1fBronze Mace

99
d5×↓nc5ra5icl
ou41
Iron Mace

+e5cj6t↓nc5tb5jdhboy81bSteel Mace

+rpf7pai×↑{^03}5xclehbo2*1bAdamantite Mace

+5iPajt↑{^03}51c5nehbo6$1dMithril Mace

+)hla55a]×↑{^03}55dpehhfo+.1dPine Staff

{'40}{70}
5.-n⌫51jcl
ou41
Oak Staff


        bpcj6m-n⌫5/mdhboy81bIron-shod Staff


        p/fv36 -n⌫5=nehbo2*1bIron Staff


        4hi93abm*{^74}5÷oehbo6$1dMithril-shod Staff

        (pla,akm*{^74}5×pehfo+.1dBronze Battle Axe
b9x
d6*fncprxicl
ou41
Iron Battle Axe

cd÷cn8gfncpt5jdhboy81bSteel Battle Axe
cr5f7pal*g{^03}px/lehfo2*1bAdamantite Battle Axe
c6iPam*g{^03}p1÷nehfo6$1dMithril Battle Axe
c){'00}la55a↑*g{^03}p5{'00}pehhfo+.1dAxe of Power

c÷÷nbz5a↓kg{^03}p+rfhhfo(%1fAxe of Warlond

c«xoc5÷b4kg{^03}p(htfhhfo ↑1hWand of Lightning

=== block 'dungeoncom'  kind 41  320 words  (block 7)

[y%
        p+yg5wadpyi÷njs7)9
Wand of Power

[0×=/+yg5wadlaflqjs7)9
Wand of Locating

[0]h/+yg5wad6afnjs7)9
Wand of Hardness

[zq⌫/+yg5wadqabdjs7)9
Wand of Curing

[35p/+yg5wad/÷abjs7)9
Wand of Passage

[yy÷/+yg5wade2r5tjs7)9
Wand of Flames

[ztl⌫+yg5wadpydmjs7)9
Wand of Hail

[0×9⌫+yg5wadpydmjs7)9
Robe of Insight

.hclno;÷aphbpmw69
Cloak of Invisibility
ovpia,n{'00}6;;÷hbm4(+57Amulet of Life

axxia=6;;÷hbhm4(+5Bracers of Destruction
k÷hoc1÷a;c÷hbxl)×1fScroll of Ne{^05}og

gu]lt99a5to;÷«/g5jq5/
Scroll of Ne{^05}myut
gvzpt9×bto;÷<gjq5/
Scroll of Ne{^05}pad
gv7tt9+a5to;÷
        ÷hjq5/
Scroll of Ne{^05}tor
gwrxt9%a5to;÷abhjq5/
Scroll of Ne{^05}gron
gxz1t9%a5to;÷ajpjjq5/
Scroll of Ne{^05}gon
gy]5t99a5to;÷ar5kjq5/
Scroll of Ne{^05}deus
gwr9t9-a÷to;÷ab8(jq5/
Scroll of Ne{^05}mah
gv7/t99a5to;÷af=ijq5/
Scroll of Ne{^05}tal
gu]=t9*bto;÷
        ]«5jq5/
Cube of Draining

u90+,+ve2c1lav=5ujy)÷9
Cube of Teleportation
u8
        +,+ve2c1dancpsjy)÷9
Cube of Restoration
u9y3v+ve2c1h4js÷jy)÷9
Cube of Flames

u8⌫vv+ve2c1pav/sjy)÷9
Cube of Freezing

u8⌫7v+ve2c1paz/kjy)÷9
Lightning Cube

u8⌫bv+ve2c1paqkjy)÷9
Magic Dust

y  nv9-csa{'00}o;÷6jt*]b5,⌫9
Tome of Might

*2dqpbda;;÷ xabhq9-95Tome of Learning

*2dqpbda;;÷ xabaq9-95Tome of Insight

*2dqpbda;;÷ xabhq9-95Tome of Endurance
*2dqpbda;;÷ xabaq9-95Tome of Persuasion
*2dqpbda;;÷ xabhq9-95Tome of Agility

*2dqpbda;;÷ xabaq9-95Ring of Invisibility
 4÷«k-(l5vahno;÷ar95hjn8 9p5Ring of Flames

 +tt]+
        h÷yahno;÷ar95h5jn8 9p5Ring of Frost

 +t/]+
        h÷yahno;÷ar95hjn8 9p5Cross of Life

s3i299s÷p5,vo;÷3jpjchhou41
Cube of Controlling
u87%h+ve2c15av{'00}mjy)÷9
Cube of Death

u8>0h+ve2c15arjpjy)÷9
Crystal of Light

ur%=t99a5qo;÷9hq5/
Potion of Health

$h(hf97÷apo;÷xa5bpy2
Potion of Neutralization
$h(dd97÷adpo;÷xa5bpy295Potion of Might

$59qpuda;;÷a5bhp-/9
Potion of Learning
$59qpuda;;÷a5bap-/9
Potion of Insight
$59qpuda;;÷a5bhp-/9

=== block 'dungeoncom'  kind 41  320 words  (block 10)
Potion of Fitness
$5dqpuda;;÷a5bap-/9
Potion of Persuasion
$59qpuda;;÷a5bhp-/9
Potion of Agility
$59qpuda;;÷a5bap-/9
Potion of Sight

$e5F9s÷bpo;÷xa5bpy2
Potion of Curing

$h df9s÷bpo;÷xa5bpy2
Potion of Ne{^05}myut
$e5=f9s÷bpo;÷xa5bpy2
Elven Potion

$f?f9s÷apo;÷xa5bpy2
Wooden Shield

×m{70}
dnnc÷r9bpil
lr19
Bronze Shield

«hctmnc÷x÷bplh
lv51
Iron Shield

«u{'00}fahm{'00}a{^03}÷1Bpnhblz99
Steel Shield

«0/iaM×a{^03}÷6bpphbl3/9
Adamantite Shield
«75lc1l×a{^03}÷+hbprhbl7=9
Mithril Shield

«/pnb7l÷a{^03}÷(pbpthbl-÷1bSpectral Shield

« poc«÷a{^03}÷ tbpvhbl)×1bRusty Plate Mail
(h/
ddl
x9ci/adn1-1
Corroded Chain Mail
mdp
dbmc÷rxbpf/aen1-1
Rotted Leather Armor
7;{70}
dbk;pla5c/
fn1-1
Robe of Remorse

oe5
bo;÷/
em0+1Spiked Shield

«0/ib3{'00}a{^03}÷+hbprhbl3/9dPotion of Flight

$f{'60}f9s÷qpo;÷xa5dbpy2
Potion of Veiling
$f{'64}f9s÷qpo;÷xa5dbpy2
Dragon's Water

$o/9f9s÷qpo;÷xa5dbpy2
Potion of Movement
$tc/f9s÷qpo;÷xa5dbpy2
Potion of Respiration
$kqf9s÷qpo;÷xa5dbpy2
Paladin's Armor

m%/oc⌫y/a⌫a÷xbpfhcfn=↓9bRing of Despair

 fx
co;÷/
↓↓↓n1-1xBent Dagger

we5
co]÷/
↓↓↓o2*1xGnarled Hands

4h
a7vb5tjc{70}
o2*xHollow Mace

+gx
a7fnc5tjc/
o2*xGreen Staff


        d{70}
a8-n⌫÷tjc/
o2*xNotched Axe

cf{70}
a8fncptjc/
o2*xTome of Lies

*29qppo;÷2xabf÷q9-9rPotion of Death

$59qppo;÷a5dbfp-/9hlShattered Sword

>gp
a8vn÷tjc{70}
o2*xBoots of Lethargy
iah
co;÷/a↓↓«ky81xEliminator

>↓{'00}oc;m<4«(×
(bedtfxhfo$«1jAmulet of Flames

az{'00}f5o;÷hbhn3/t55Medallion of the Dragons
a9b5]9;fp1aro;÷hbpn-÷t57Breath Taker

a=r69+4l54b÷o;÷az%khbxn,T59Gloves of the Blackguard
0cp
o;÷/
59lz91pGloves of Strength
0ahczo;÷hbhlv51bMaster's Gloves

0r{'00}fanpa;;÷hbplz91bGloves of Power

05ia{'40}a;;÷hbpl3/1dGloves of Might

0/÷lb-÷a;;÷hbpal7=1fGloves of Death

0.hncsa;;÷hbpal)×1jGloves of Doom

0(8u9+wfp1b9,÷a;;÷

=== block 'dungeoncom'  kind 41  320 words  (block 11)
+r9*×hjial*[1dScroll of Spells

gux9qpp1a;;÷«/7q9-9yWand of Entrapment
[y][p+yg5wad5ab5hjs7)9
Wand of Darkness

[x>qp+yg5wad5ae÷kjs7)9
Ring of Levitation
 4/[k+
        l5vahno;÷ar95hjn8 9p5Potion of Youth

$59qppo;÷h[9rdcbfp-/o
        5Ring of Opening

 /q
        k+
        h÷1ahno;÷ar95hjn8 9p5Tome of Spells

*29qppc⌫a;;÷a7÷7q*(9a9Dragon's Blood

$,59qp4c⌫a;;÷ec
9,«9oc5Sphere of Harm

↑4maf+yg5zb×lan15sju9=9
Sphere of Dislocation
↑4i6f+yg5zb×eaa5pju9=9
Sphere of Healing
↑6xuz+yg5zb×/÷afhqju9=9
Sphere of Flames

↑4lq9+yg5zb×pafhju9=9
Sphere of Frost

↑4l(9+yg5zb×padmju9=9
Sphere of Thunder
↑4k{75}9+yg5zb×paahju9=9
Prism of Sanctuary
u6
        =/9qp4ao;÷aihjlv59
Sphere of Doom

↑4ku,+yg5zb×5ai{'00}nju9=9
Sphere of Rulership
↑4j[,+yg5zb×5aj÷iju9=9
Tarnished Cross

se5
ad/)-⌫puboc/
o6$11Cross of Commanding
s/r{75}k-wiy)3<jj*÷⌫ubc÷o6hfao6$1bDust of Life

y6xvv9↑epa9o;÷⌫bt9)9
Helm of Brilliance
6.te9-*l54c÷$=a⌫b÷hbahm$«2÷9Dust of Curing

yy÷uk9wa5p9o;÷9bt5-9
White Sash

pfsp/-×fptaa×a;;÷/jlv59
Avenger


>)hla<,a↑«(⌫÷(bedtfxhfo(%1fDominator

>+xf]pag«(⌫÷9
        ×8rexhfo6$1bPurple Sash

phj6p*dg5wa6×a;;÷/jlz991Backlash Sash

pjda9*↓l5zb6÷a;;÷/jl7=91Magenta Sash

pk⌫rl*<r÷2cl[=a;;÷/jl-÷91Gloves of Light

0×s0h-*l54c{75}pq;;÷*v=*«hjqhal,{'34}lGold Sash

pm÷0;*⌫r÷4c{75}q/a;;÷/jl)×9xDust of Locating

yr<h39s÷tho;÷×bo- 9
War Hammer

275cr3{'55}iy⌫c÷5
        ×8pdxfo2*1bHammer of Flames

2==l⌫fgg50a= «ui4⌫c÷*bd×seyhfho/]1dSilver Cross

s6xcjna7h$÷⌫r{75}>5n6hfo0+1bRing of Entrapment
 +r[k+
        h÷yahno;÷ar95hjn8 9p5Potion of Life

$)hdqppc⌫a;;÷*n1
        %dgbp-/95Ring of Disruption
 +s9]+
        h÷yahno;÷ar95hjn8 9p5Elven Ring

 /puk+
        h÷1ahno;÷ar95hjn8 9p5Ring of Teleportation
 /q+k+
        h÷1ahno;÷ar95hjn8 9p5Giant Centipede
stt)6a1aahadh+9j5gpdj↑>øb4;;mhcc⌫b56dhtv76p6dp6Kobold

stt)6a1aahadhapa÷9⌫k5cdj4>{'00}b;;;nlcc%b57dftv7696dpaqEnchantress
estt)6axaaahadfb9⌫sghljg↑>{'00}ao;;mpc%
        eb7dftv77lqep6Enchanter
st+r6a9abbhadfm9↑0yd5dtq4>{'00}ao;;jpas÷jab=4tv75÷]ra6Goblin

sv(r7a1aahadda9σcdi4>{'00}b;;;n=c8%bbdztv7695dpb7

=== block 'dungeoncom'  kind 41  320 words  (block 12)
Green Ooze
xf÷a5abjiadm57↑gappb;;;)0.;⌫i9e%<327
p
Wileon Rogue
s3q×va1aabhaddd+sebdk4>{'00}a.;;nlc8%ebdztyb7l5epc]Nimyl

sp{75}07axaachadd÷9⌫sygdhg↑>{'00}o;;mla%
        e7dutv76pqeabPinyl

sx«0raxbbh6h)÷c9⌫sygdhg↑>{'00}o;;m÷bc
        eadztv76pqeabGnilian Scavengers5/=-a1bbfxadxapb+asl5edn4>{'00}a.;;jlb8%e37h.tyb5(bdb9Mirfin

stt$aa5aahadxc9⌫sygdfh↑>Gc4;;nldc{75}ebdhtv76pqd6Stirfin

sp÷$ca5bchah)b÷k+asygddh↑>Gc4;;npb8{75}g6bd0tv76ppdabFootpad

sp5$aa1aachadhap9⌫scdd4>{'00}b;;;npa%%g57dktv77lpda6Filar

yiesr{75}8baxaaciah=7sfddjl;>{'00}6.;⌫mlc8J36d tv77l[adacCutthroat
suas«a1adep6mjapb+at+5c÷bdx4>{'00}b;;⌫m=bc%eaad)tv8jn5e8Thug

sx[8cb1bggi65<d5ec÷ad↑syfpc÷bdm{'00}4>{'00}b;;;nlducj6d«tv8]l[ebdFire Centipede
sttz6btbfdi[59pa9;jl5ghdo{'40};>;hr4;;ohc«lj4bdTv6qpqgp9Cutpurse
s7[9↓b1bejy[lzdjad↑1yedm{'00}4>{'00}a.;;nlc«ce4bejtv8]l[ebgLepad

st 8%b5bfq[5)k5]-↑tybbdm{'00}.>{'00}co;;nhduaead«tv8[p[ebdSemyut

i5÷d8bxboi[÷<e5%wp*atyeabtnoH{^75}÷ba4;;,pd«be4bhjtv8]l[edbeBegron

s9[6⌫b=bira÷<h5↑9⌫uyf5o{'00}>>{'00}a;;;nxd+dj4deetv8]l[edaeCedeus

x[8cb1beeja÷ze[9⌫tyahbtm{'00};zB.;;npds«j3bd×tv8[p[ebdPelagon

sx]sab÷bgji[÷dl÷9⌫+ydhdo{'40}{75}>Hp4;;n1d+fj4ed×3l+bl[ua×Mesentor
s5÷$ab5cfja/$f÷
        fa5+a1yb6whtmH↑>{'00}a.;;ntd+gj3cd«tv8[9[eadVernyl

it[9sbxbfdra=)bph*atygdoxg;>{'00};;;nhceio3ad«tv8i9[ed9Fekold

st[95b5bhtrah5a5f9]tygappc{'00};;;)0.;;ndjuj3b
p
Methor

s5u68b5bfjq ji÷ad↑togpads{'60};>{'00}ro;;nhd+kjad«tv8[9[e÷adSephin

sv{75}9sb5acja÷zb÷l9↑1ygbdm{'00}↑>Gc4;;nlc«mj4bd«tv8i9[eadPhental

s5276b=bira÷/n{'00}-⌫1yblm{'40};%.;r.;;ntdunj4deetv7
        9[eaeNesimah

s2er[b9berq÷<mp«9⌫1yaa5dm{'60};$pbao;;npeeoj37d«tv8jl[ebdCharmer

s(i«bc9djtkb5<k÷.m-↑1yfpd91tu⌫d4>⌫hao;;npgvpo2be+tv8]l[mtb*Dunipad

sx($]cxcmr]9<d÷sl5-⌫lyfpg7tw⌫d.>⌫co;;nhf-qj36e+tv8[qbut*Weaponist
s3{75} bc1dmtj7/)dp5-⌫tyfpc55du⌫d4>⌫b;;;nle↓so4be-tv8]l[mta*Yutigron
s,[=ac=dlkb[+epum÷9⌫2yfpg55p(⌫d>>⌫a;;;nxf↓to19e*tv8]l↓4UgVulandeus
4u=6c1dlrr5][e5*a+l=5gh5tq⌫d;z⌫b.;;npffuo37e7tv8[9[etagRhunagon
s3↓9ac÷hjtkr/↑e÷÷e×(a+l=6thpd0⌫9{75}>⌫h÷w;;n1g↓vo1+e*3l+bl[+t+↑Numetor

